sha	纱砂杉沙杀刹煞		傻	厦啥煞	
shai	筛		色	晒	
shan	删珊栅扇杉衫山		陕闪	禅擅扇善	
shang	商伤		上晌赏	尚上	裳上
shao	捎梢稍烧	勺	少	哨捎绍少	
she	奢	蛇折舌摺	舍	社射舍设涉摄	
shei		谁			
shen	申伸呻绅参身深	神甚什	审婶沈	甚慎渗肾	
sheng	生牲声升	绳	省	胜盛圣乘剩	
shi	施诗失师狮湿尸	拾识蚀十什石时实食	屎史使驶始矢	逝誓室是释式试侍士仕适市柿饰示视势似氏世事	匙
shou	收収	熟	守手首	受授瘦寿售兽	
shu	殊叔淑输枢书梳疏蔬抒舒	赎熟	数暑属鼠署薯蜀	数束竖恕术述树	
shua			耍	刷	
shuai	摔衰		甩	率帅	
shuan	拴				
shuang	霜双		爽		
shui		谁	水	睡说税	
shun				顺瞬	
shuo	说			数硕烁	
si	斯撕司私思丝		死	伺饲寺巳似肆四食	厕
song	松嵩		耸	诵讼颂送宋	
sou	搜艘			嗽	
su	苏稣	俗		肃速诉塑溯宿素	
suan	酸			算蒜	
sui	虽尿	遂随	髓	遂隧燧碎穗岁	
sun	孙		损笋		
suo	唆缩莎		索所锁	嗦	
ta	他她它塌踏		塔	蹋拓踏	
tai	胎	台抬		太汰态泰	
tan	摊滩瘫贪	坛弹谈痰谭潭	坦毯	叹炭碳探	
tang	汤	堂膛唐塘糖	倘躺	烫趟	
tao	滔掏涛叨	逃桃陶淘萄	讨	套	
	ā	á	ǎ	à	
te				特	
tei	忒				
teng	腾	腾疼藤			
ti	梯踢体	啼踢提题	体	剃涕惕替屉	
tian	天添	填田甜			
tiao	挑	调条	挑	跳	
tie	帖贴		帖铁	帖	
ting	厅听	亭停廷庭蜓	挺艇		
tong	通	同桐铜童彤	捅桶筒统	通痛同	
tou	偷	头投		透	头
tu	秃突凸	屠涂途图徒	土吐	吐兔	
tuan		团抟			
tui	推	颓	腿	退	
tun	屯豚				
tuo	拖脱托	陀驼驮	椭妥	唾魄拓	
wa	哇蛙挖	娃	瓦	袜瓦	哇
wai	歪			外	
wan	弯湾豌	玩顽丸完	挽晚宛婉惋碗	腕万	
wang	汪	王亡芒忘	枉往网	旺妄忘往望	
wei	危委萎微巍威	伟围违桅唯惟维为	伟纬委萎尾唯伪	未味位胃谓遗为卫畏喂魏慰	
wen	温瘟	文纹蚊闻	吻稳	问	
weng	翁				
wo	涡窝喔		我	沃握卧	
wu	屋巫诬乌呜污	吾梧无毋吴	五伍侮午舞武	恶悟晤勿物戊误务雾	
xi	吸西牺嘻昔惜腊析锡熙夕矽晰膝悉息熄希稀溪	袭习媳席	喜禧洗	细系隙戏	
xia	虾瞎	侠峡狭匣辖暇霞		下吓夏厦	下
xian	纤鲜先仙掀	咸嫌贤弦衔闲娴	险鲜显	限线羡陷馅现宪献县腺	
xiang	相厢箱襄镶乡香	详祥降翔	想享响	项相象像橡向巷	
xiao	萧潇肖削宵消逍销嚣	淆	晓小	啸效校肖孝笑	
xie	歇些	挟邪鞋斜协胁谐携	写血	写泻屑械泄谢卸解蟹	
xin	辛锌新薪心芯欣馨	寻		芯信衅	
xing	星猩腥兴	刑邢形型行	醒省	姓性杏幸兴	
	ā	á	ǎ	à	
xiong	凶汹兄匈胸	熊雄			
xiu	休修羞		朽宿	袖秀绣锈宿臭嗅	
xü	吁须虚墟需戌	徐	许	绪酗序絮续叙畜蓄	
xüan	轩宣喧萱	旋玄悬	选	旋券	
xüe	靴削薛	学穴	雪	血	
xün	熏薰	旬询寻循巡		讯汛迅训熏逊	
ya	呀鸦哑押鸭丫压	牙芽崖涯	雅哑	讶亚轧压	呀
yan	咽烟殷燕淹	研沿岩炎延言严颜盐	眼演衍掩	验焰沿咽雁厌彦燕宴艳	
yang	央殃秧	扬杨羊洋阳	氧痒养仰	样	
yao	要腰妖幺约邀	姚谣摇遥尧窑	咬	要钥疟药耀	
ye	耶椰	耶爷	也冶野	咽叶业夜液页	
yi	医衣依一伊壹	宜蛇诒移遗颐一夷姨疑仪	乙矣倚椅以蚁已	异亿忆艺谊译亦易意翼役疫毅益溢一义议抑逸裔艾	
yin	因姻音殷阴荫	银吟寅淫	饮引隐瘾	饮荫印	
ying	英应婴樱莺鹰	迎赢盈萤蝇营	影颖	映硬应	
yo	育哟				哟
yong	佣拥庸		勇涌踊永咏泳	用佣	
you	优忧幽悠	由邮油铀尤犹游	有友酉	诱右佑有又幼	
yu		于俞愉逾榆瑜愚与余馀予鱼渔娱於舆	宇语与屿羽予雨	吁喻愈寓遇浴欲裕域与预郁玉誉育御狱豫	
yuan	渊冤	袁猿元园员圆原源缘援	远	苑怨愿院	
yue	曰约			说悦阅跃月钥乐岳越粤	
yun	晕	云匀	允	晕运酝蕴孕韵	
za	扎	杂砸	咋		
zai	灾哉栽		仔载宰	载再在	
zan		咱	攒	暂赞	咱
zang	脏			脏葬藏	
zao	遭糟	凿	澡早枣	噪燥躁灶造皂	
	ā	á	ǎ	à	
ze		则择泽责			
zei		贼			
zen			怎		
zeng	曾增憎			赠综	
zha	咋扎查渣	炸闸扎轧	眨	乍诈咋炸栅榨	
zhai	摘斋	择宅	窄	债寨	
zhan	占沾粘瞻		盏斩崭展	栈占站颤战	
zhang	章彰蟑张		长涨掌	帐胀账涨丈仗杖障	
zhao	招朝着昭	着	沼爪找	兆召罩赵照	
zhe	折遮摺	折哲摺辙	者	浙这蔗	着
zhei				这	
zhen	珍真针贞甄		诊疹枕	镇振震圳阵	
zheng	丁正怔症争挣睁筝蒸征		拯整	正证政症挣郑	
zhi	支枝肢之芝指脂只织汁知蜘掷	侄直值植殖指职执	旨指只止址纸	至致置治识帜秩志痣智掷稚挚质制滞	
zhong	中忠钟终衷		肿种	中仲种重众	
zhou	周州洲舟粥	轴	肘	宙骤皱昼咒	
zhu	朱株珠蛛猪诸	逐烛筑术竹	主拄煮属嘱瞩	助住注驻柱铸筑祝著	
zhua	抓		爪		
zhuai	拽		跩	拽	
zhuan	专砖		转	传转赚撰	
zhuang	庄桩妆装			幢撞壮状	
zhui	追			坠缀赘	
zhun	肫谆迍屯		准準		
zhuo	拙卓捉桌	浊酌啄琢着			
zi	仔咨姿资兹滋		子仔籽紫姊	字自	子
zong	宗综棕踪		总	纵粽	
zou			走	奏揍	
zu	租	卒族足	诅阻组祖		
zuan	钻			钻	
zui			嘴	罪醉最	
zun	尊遵				
zuo	作	作昨琢	左佐	作坐座凿做	
					
